Train No,Train Name,SEQ,Station Code,Station Name,Arrival time,Departure Time,Distance,Source Station,Source Station Name,Destination Station,Destination Station Name
12301,HOWRAH RAJDHANI,1,HWH,HOWRAH JN,00:00:00,16:55:00,0,HWH,HOWRAH JN,NDLS,NEW DELHI
12301,HOWRAH RAJDHANI,2,ASN,ASANSOL JN,18:55:00,18:57:00,200,HWH,HOWRAH JN,NDLS,NEW DELHI
12301,HOWRAH RAJDHANI,3,DDU,PT. DEEN DAYAL UPADHYAYA JN,00:45:00,00:55:00,659,HWH,HOWRAH JN,NDLS,NEW DELHI
12301,HOWRAH RAJDHANI,4,PRYJ,PRAYAGRAJ JN,02:43:00,02:45:00,812,HWH,HOWRAH JN,NDLS,NEW DELHI
12301,HOWRAH RAJDHANI,5,CNB,KANPUR CENTRAL,04:50:00,04:55:00,1007,HWH,HOWRAH JN,NDLS,NEW DELHI
12301,HOWRAH RAJDHANI,6,NDLS,NEW DELHI,10:05:00,00:00:00,1447,HWH,HOWRAH JN,NDLS,NEW DELHI
12302,NEW DELHI RAJDHANI,1,NDLS,NEW DELHI,,16:55:00,0,NDLS,NEW DELHI,HWH,HOWRAH JN
12302,NEW DELHI RAJDHANI,2,CNB,KANPUR CENTRAL,21:32:00,21:37:00,440,NDLS,NEW DELHI,HWH,HOWRAH JN
12302,NEW DELHI RAJDHANI,3,PRYJ,PRAYAGRAJ JN,23:43:00,23:45:00,635,NDLS,NEW DELHI,HWH,HOWRAH JN
12302,NEW DELHI RAJDHANI,4,DDU,PT. DEEN DAYAL UPADHYAYA JN,01:37:00,01:47:00,788,NDLS,NEW DELHI,HWH,HOWRAH JN
12302,NEW DELHI RAJDHANI,5,ASN,ASANSOL JN,06:55:00,06:57:00,1247,NDLS,NEW DELHI,HWH,HOWRAH JN
12302,NEW DELHI RAJDHANI,6,HWH,HOWRAH JN,09:55:00,None,1447,NDLS,NEW DELHI,HWH,HOWRAH JN
22436,VANDE BHARAT EXP,1,NDLS,NEW DELHI,00:00:00,06:00:00,0,NDLS,NEW DELHI,DDU,PT. DEEN DAYAL UPADHYAYA JN
22436,VANDE BHARAT EXP,2,CNB,KANPUR CENTRAL,10:08:00,10:10:00,440,NDLS,NEW DELHI,DDU,PT. DEEN DAYAL UPADHYAYA JN
22436,VANDE BHARAT EXP,3,PRYJ,PRAYAGRAJ JN,12:08:00,12:10:00,635,NDLS,NEW DELHI,DDU,PT. DEEN DAYAL UPADHYAYA JN
22436,VANDE BHARAT EXP,4,DDU,PT. DEEN DAYAL UPADHYAYA JN,14:00:00,,788,NDLS,NEW DELHI,DDU,PT. DEEN DAYAL UPADHYAYA JN
12951,MUMBAI TEJAS RAJDHANI,1,MMCT,MUMBAI CENTRAL,,17:00:00,0,MMCT,MUMBAI CENTRAL,NDLS,NEW DELHI
12951,MUMBAI TEJAS RAJDHANI,2,BVI,BORIVALI,17:22:00,17:24:00,30,MMCT,MUMBAI CENTRAL,NDLS,NEW DELHI
12951,MUMBAI TEJAS RAJDHANI,3,ST,SURAT,19:43:00,19:48:00,263,MMCT,MUMBAI CENTRAL,NDLS,NEW DELHI
12951,MUMBAI TEJAS RAJDHANI,4,BRC,VADODARA JN,21:06:00,21:16:00,392,MMCT,MUMBAI CENTRAL,NDLS,NEW DELHI
12951,MUMBAI TEJAS RAJDHANI,5,RTM,RATLAM JN,00:25:00,00:28:00,653,MMCT,MUMBAI CENTRAL,NDLS,NEW DELHI
12951,MUMBAI TEJAS RAJDHANI,6,KOTA,KOTA JN,03:15:00,03:20:00,920,MMCT,MUMBAI CENTRAL,NDLS,NEW DELHI
12951,MUMBAI TEJAS RAJDHANI,7,MTJ,MATHURA JN,06:33:00,06:35:00,1243,MMCT,MUMBAI CENTRAL,NDLS,NEW DELHI
12951,MUMBAI TEJAS RAJDHANI,8,NDLS,NEW DELHI,08:32:00,00:00:00,1384,MMCT,MUMBAI CENTRAL,NDLS,NEW DELHI
12004,LUCKNOW SHATABDI EXP,1,NDLS,NEW DELHI,,06:10:00,0,NDLS,NEW DELHI,CNB,KANPUR CENTRAL
12004,LUCKNOW SHATABDI EXP,2,GZB,GHAZIABAD JN,06:43:00,06:45:00,25,NDLS,NEW DELHI,CNB,KANPUR CENTRAL
12004,LUCKNOW SHATABDI EXP,3,ALJN,ALIGARH JN,07:48:00,07:50:00,131,NDLS,NEW DELHI,CNB,KANPUR CENTRAL
12004,LUCKNOW SHATABDI EXP,4,TDL,TUNDLA JN,08:45:00,08:47:00,209,NDLS,NEW DELHI,CNB,KANPUR CENTRAL
12004,LUCKNOW SHATABDI EXP,5,CNB,KANPUR CENTRAL,11:20:00,,440,NDLS,NEW DELHI,CNB,KANPUR CENTRAL
12802,PURUSHOTTAM EXP,1,NDLS,NEW DELHI,None,22:40:00,0,NDLS,NEW DELHI,DDU,PT. DEEN DAYAL UPADHYAYA JN
12802,PURUSHOTTAM EXP,2,GZB,GHAZIABAD JN,23:18:00,23:20:00,25,NDLS,NEW DELHI,DDU,PT. DEEN DAYAL UPADHYAYA JN
12802,PURUSHOTTAM EXP,3,ALJN,ALIGARH JN,00:38:00,00:40:00,131,NDLS,NEW DELHI,DDU,PT. DEEN DAYAL UPADHYAYA JN
12802,PURUSHOTTAM EXP,4,CNB,KANPUR CENTRAL,04:00:00,04:05:00,440,NDLS,NEW DELHI,DDU,PT. DEEN DAYAL UPADHYAYA JN
12802,PURUSHOTTAM EXP,5,PRYJ,PRAYAGRAJ JN,06:55:00,07:00:00,635,NDLS,NEW DELHI,DDU,PT. DEEN DAYAL UPADHYAYA JN
12802,PURUSHOTTAM EXP,6,DDU,PT. DEEN DAYAL UPADHYAYA JN,09:50:00,00:00:00,788,NDLS,NEW DELHI,DDU,PT. DEEN DAYAL UPADHYAYA JN
20608,MYSURU CHENNAI VANDE BHARAT,1,SBC,KSR BENGALURU CITY JN,00:00:00,14:50:00,0,SBC,KSR BENGALURU CITY JN,MAS,MGR CHENNAI CENTRAL
20608,MYSURU CHENNAI VANDE BHARAT,2,KPD,KATPADI JN,17:33:00,17:35:00,228,SBC,KSR BENGALURU CITY JN,MAS,MGR CHENNAI CENTRAL
20608,MYSURU CHENNAI VANDE BHARAT,3,MAS,MGR CHENNAI CENTRAL,19:20:00,,358,SBC,KSR BENGALURU CITY JN,MAS,MGR CHENNAI CENTRAL
12131,SHIRDI SUPERFAST EXP,1,MMCT,MUMBAI CENTRAL,00:00:00,21:45:00,0,MMCT,MUMBAI CENTRAL,KPG,KOPARGAON
12131,SHIRDI SUPERFAST EXP,2,MMR,MANMAD JN,02:40:00,02:45:00,260,MMCT,MUMBAI CENTRAL,KPG,KOPARGAON
12131,SHIRDI SUPERFAST EXP,3,KPG,KOPARGAON,03:28:00,00:00:00,302,MMCT,MUMBAI CENTRAL,KPG,KOPARGAON
12132,SAINAGAR SHIRDI EXP,1,KPG,KOPARGAON,00:00:00,22:30:00,0,KPG,KOPARGAON,MMCT,MUMBAI CENTRAL
12132,SAINAGAR SHIRDI EXP,2,MMR,MANMAD JN,23:15:00,23:20:00,42,KPG,KOPARGAON,MMCT,MUMBAI CENTRAL
12132,SAINAGAR SHIRDI EXP,3,MMCT,MUMBAI CENTRAL,04:15:00,00:00:00,302,KPG,KOPARGAON,MMCT,MUMBAI CENTRAL
